Timestamp,Expiry Date,COI,CCOI,CCOI%,CVol,CIV,CE LTP,Spot,Strike Price,PE LTP,PE IV,PE Vol,PCOI%,PCOI,POI,IntraDay PCR,PCR
2025-08-14 15:30:00,14-Aug-2025,24762,-9150,-36.95,99801,53.00,0.05,24631.30,27100.00,2458.75,0.00,26,0.00,0,17,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.00,24631.30,22600.00,0.05,48.08,96995,-85.20,-19836,23283,-,-
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.00,24631.30,22650.00,0.05,46.92,21090,-73.08,-1235,1690,-,-
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.00,24631.30,22700.00,0.10,48.16,38143,-44.69,-3631,8125,-,-
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.00,24631.30,22750.00,0.05,44.61,10822,-3.35,-48,1433,-,-
2025-08-14 15:30:00,14-Aug-2025,32,-51,-159.38,106,76.09,1832.40,24631.30,22800.00,0.05,43.46,145647,-72.48,-19601,27045,384.33,845.16
2025-08-14 15:30:00,14-Aug-2025,1,0,0.00,0,0.00,1700.00,24631.30,22850.00,0.05,42.30,34002,-10.27,-1034,10072,-,10072.00
2025-08-14 15:30:00,14-Aug-2025,1,0,0.00,0,0.00,1693.30,24631.30,22900.00,0.05,41.15,19157,-34.86,-1208,3465,-,3465.00
2025-08-14 15:30:00,14-Aug-2025,217,217,100.00,227,72.73,1684.25,24631.30,22950.00,0.05,40.00,14163,-7.20,-127,1764,-0.59,8.13
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,1631.85,24631.30,23000.00,0.05,38.85,206966,-43.16,-17981,41658,-,-
2025-08-14 15:30:00,14-Aug-2025,4,-2,-50.00,4,63.74,1580.00,24631.30,23050.00,0.05,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,1538.00,24631.30,23100.00,0.05,36.54,62028,-52.36,-6049,11553,-,-
2025-08-14 15:30:00,14-Aug-2025,2,-8,-400.00,10,0.00,1470.00,24631.30,23150.00,0.05,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,1418.40,24631.30,23200.00,0.05,34.24,92473,-19.07,-2792,14638,-,-
2025-08-14 15:30:00,14-Aug-2025,6,3,50.00,3,0.00,1280.00,24631.30,23250.00,0.05,0.00,0,-,0,0,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,33,-7,-21.21,29,53.63,1329.15,24631.30,23300.00,0.05,31.94,287142,46.16,24560,53203,-3508.57,1612.21
2025-08-14 15:30:00,14-Aug-2025,7,0,0.00,0,0.00,1166.50,24631.30,23350.00,0.05,0.00,0,-,0,0,-,0.00
2025-08-14 15:30:00,14-Aug-2025,46,3,6.52,65,53.82,1232.40,24631.30,23400.00,0.05,29.63,206398,6.63,1873,28241,624.33,613.93
2025-08-14 15:30:00,14-Aug-2025,7,-6,-85.71,24,46.18,1177.65,24631.30,23450.00,0.05,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,1130.50,24631.30,23500.00,0.05,27.32,497868,-32.77,-20731,63255,-,-
2025-08-14 15:30:00,14-Aug-2025,31,-6,-19.35,48,66.08,1111.85,24631.30,23550.00,0.05,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,75,-3,-4.00,75,44.19,1030.30,24631.30,23600.00,0.05,25.02,344162,-24.42,-10950,44840,3650.00,597.87
2025-08-14 15:30:00,14-Aug-2025,30,-5,-16.67,90,59.04,1006.60,24631.30,23650.00,0.05,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,931.25,24631.30,23700.00,0.05,22.70,434596,18.31,11603,63358,-,-
2025-08-14 15:30:00,14-Aug-2025,73,-21,-28.77,114,41.00,882.95,24631.30,23750.00,0.05,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,282,-185,-65.60,382,38.53,832.30,24631.30,23800.00,0.05,20.38,735419,18.43,21320,115699,-115.24,410.28
2025-08-14 15:30:00,14-Aug-2025,69,-23,-33.33,79,37.44,783.40,24631.30,23850.00,0.05,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,730.80,24631.30,23900.00,0.05,18.05,812826,-14.43,-9713,67329,-,-
2025-08-14 15:30:00,14-Aug-2025,116,-54,-46.55,241,31.45,680.70,24631.30,23950.00,0.05,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,2061,-937,-45.46,6748,29.28,630.40,24631.30,24000.00,0.05,15.71,1526209,-52.48,-61589,117366,65.73,56.95
2025-08-14 15:30:00,14-Aug-2025,130,-126,-96.92,468,27.58,580.70,24631.30,24050.00,0.05,14.53,567290,-1.43,-479,33513,3.80,257.79
2025-08-14 15:30:00,14-Aug-2025,551,-270,-49.00,1652,26.59,532.15,24631.30,24100.00,0.05,13.35,1247097,13.15,10513,79963,-38.94,145.12
2025-08-14 15:30:00,14-Aug-2025,282,-107,-37.94,819,24.44,481.95,24631.30,24150.00,0.05,12.17,1292163,38.59,20842,54003,-194.79,191.50
2025-08-14 15:30:00,14-Aug-2025,1297,-1146,-88.36,7959,21.56,430.60,24631.30,24200.00,0.05,10.97,1748730,-5.16,-4387,85066,3.83,65.59
2025-08-14 15:30:00,14-Aug-2025,610,-160,-26.23,3237,19.68,380.85,24631.30,24250.00,0.05,9.77,1083341,-0.50,-263,52902,1.64,86.72
2025-08-14 15:30:00,14-Aug-2025,4959,-2253,-45.43,43525,17.43,330.55,24631.30,24300.00,0.05,8.56,1937491,-32.88,-24443,74337,10.85,14.99
2025-08-14 15:30:00,14-Aug-2025,2368,-1256,-53.04,26997,15.77,281.45,24631.30,24350.00,0.05,7.34,2123541,-6.43,-4700,73071,3.74,30.86
2025-08-14 15:30:00,14-Aug-2025,8833,-6487,-73.44,228311,13.30,230.50,24631.30,24400.00,0.05,6.10,3963265,-55.15,-55769,101129,8.60,11.45
2025-08-14 15:30:00,14-Aug-2025,6564,-7602,-115.81,291973,11.10,181.45,24631.30,24450.00,0.05,4.85,5647403,-24.44,-20730,84816,2.73,12.92
2025-08-14 15:30:00,14-Aug-2025,26828,-29465,-109.83,1869269,8.75,131.05,24631.30,24500.00,0.05,3.56,10616315,-56.19,-67683,120459,2.30,4.49
2025-08-14 15:30:00,14-Aug-2025,21636,-5184,-23.96,3220213,6.21,81.30,24631.30,24550.00,0.05,2.24,13466648,-6.14,-7020,114388,1.35,5.29
2025-08-14 15:30:00,14-Aug-2025,115046,-7623,-6.63,14875878,3.33,31.20,24631.30,24600.00,0.05,0.82,31993032,37.09,120367,324561,-15.79,2.82
2025-08-14 15:30:00,14-Aug-2025,388520,292138,75.19,33980642,0.92,0.05,24631.30,24650.00,18.65,0.00,25926576,50.72,70902,139804,0.24,0.36
2025-08-14 15:30:00,14-Aug-2025,254249,84082,33.07,23947557,2.32,0.05,24631.30,24700.00,68.70,0.00,8083167,-16.94,-9104,53732,-0.11,0.21
2025-08-14 15:30:00,14-Aug-2025,112542,27137,24.11,11172449,3.63,0.05,24631.30,24750.00,118.75,0.00,1756152,-24.75,-2572,10390,-0.09,0.09
2025-08-14 15:30:00,14-Aug-2025,118274,-11138,-9.42,7671893,4.90,0.05,24631.30,24800.00,168.15,0.00,1106257,-74.43,-5963,8012,0.54,0.07
2025-08-14 15:30:00,14-Aug-2025,74263,-5454,-7.34,3776084,6.13,0.05,24631.30,24850.00,218.20,0.00,179434,9.14,175,1914,-0.03,0.03
2025-08-14 15:30:00,14-Aug-2025,98634,705,0.71,2822491,7.34,0.05,24631.30,24900.00,268.00,0.00,107683,-201.75,-3809,1888,-5.40,0.02
2025-08-14 15:30:00,14-Aug-2025,56651,-5552,-9.80,1398219,9.10,0.10,24631.30,24950.00,318.10,0.00,19322,-115.24,-953,827,0.17,0.01
2025-08-14 15:30:00,14-Aug-2025,124068,-87344,-70.40,2383002,9.70,0.05,24631.30,25000.00,368.45,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.05,24631.30,25050.00,418.20,0.00,2946,-37.97,-71,187,-,-
2025-08-14 15:30:00,14-Aug-2025,105790,141,0.13,1633487,12.01,0.05,24631.30,25100.00,468.35,0.00,0,-,0,0,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.05,24631.30,25150.00,518.05,0.00,524,-60.84,-87,143,-,-
2025-08-14 15:30:00,14-Aug-2025,184404,60200,32.65,1208886,14.28,0.05,24631.30,25200.00,568.40,0.00,2291,-145.94,-791,542,-0.01,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.05,24631.30,25250.00,617.85,0.00,356,-53.91,-69,128,-,-
2025-08-14 15:30:00,14-Aug-2025,57850,-19533,-33.76,740366,16.50,0.05,24631.30,25300.00,666.95,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,23346,4980,21.33,377094,17.60,0.05,24631.30,25350.00,720.10,0.00,271,-33.90,-60,177,-0.01,0.01
2025-08-14 15:30:00,14-Aug-2025,67535,10070,14.91,680096,18.70,0.05,24631.30,25400.00,768.10,0.00,0,-,0,0,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.05,24631.30,25450.00,819.45,0.00,95,-45.10,-23,51,-,-
2025-08-14 15:30:00,14-Aug-2025,82745,-5012,-6.06,692879,20.87,0.05,24631.30,25500.00,869.95,0.00,1902,-280.80,-1199,427,0.24,0.01
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.10,24631.30,25550.00,921.00,0.00,105,-78.57,-22,28,-,-
2025-08-14 15:30:00,14-Aug-2025,41574,3817,9.18,271331,23.01,0.05,24631.30,25600.00,970.00,0.00,0,-,0,0,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.05,24631.30,25650.00,1010.60,0.00,34,-28.57,-8,28,-,-
2025-08-14 15:30:00,14-Aug-2025,26963,-1764,-6.54,167277,25.13,0.05,24631.30,25700.00,1070.25,0.00,0,-,0,0,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.05,24631.30,25750.00,1130.80,42.19,22,-5.88,-2,34,-,-
2025-08-14 15:30:00,14-Aug-2025,32838,7056,21.49,210501,27.22,0.05,24631.30,25800.00,1169.00,0.00,77,-35.54,-43,121,-0.01,0.00
2025-08-14 15:30:00,14-Aug-2025,4989,113,2.26,52259,28.27,0.05,24631.30,25850.00,1216.80,0.00,86,-103.12,-33,32,-0.29,0.01
2025-08-14 15:30:00,14-Aug-2025,21614,-3593,-16.62,156747,29.30,0.05,24631.30,25900.00,1280.75,46.76,8,-15.38,-2,13,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.05,24631.30,25950.00,1509.90,0.00,0,0.00,0,17,-,-
2025-08-14 15:30:00,14-Aug-2025,34374,-14580,-42.42,266155,31.36,0.05,24631.30,26000.00,1369.00,0.00,281,-86.38,-203,235,0.01,0.01
2025-08-14 15:30:00,14-Aug-2025,3410,266,7.80,17193,32.38,0.05,24631.30,26050.00,1477.75,0.00,0,0.00,0,12,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,10042,-4055,-40.38,39570,33.40,0.05,24631.30,26100.00,1463.00,0.00,0,0.00,0,8,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,3101,528,17.03,22914,34.42,0.05,24631.30,26150.00,1510.30,0.00,0,0.00,0,6,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,9256,-6310,-68.17,45273,35.43,0.05,24631.30,26200.00,1575.00,0.00,36,-63.64,-14,22,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,1343,-645,-48.03,7752,36.43,0.05,24631.30,26250.00,1669.55,0.00,0,0.00,0,8,-0.00,0.01
2025-08-14 15:30:00,14-Aug-2025,4881,-235,-4.81,11717,37.44,0.05,24631.30,26300.00,1659.05,0.00,3,16.67,1,6,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,1596,442,27.69,9463,38.43,0.05,24631.30,26350.00,1840.05,0.00,0,0.00,0,5,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,2240,-1629,-72.72,11798,41.51,0.10,24631.30,26400.00,1832.10,0.00,0,0.00,0,4,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,1182,109,9.22,5513,40.42,0.05,24631.30,26450.00,1856.95,0.00,0,0.00,0,4,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,19165,-17521,-91.42,142330,41.41,0.05,24631.30,26500.00,1871.00,0.00,105,-342.86,-96,28,0.01,0.00
2025-08-14 15:30:00,14-Aug-2025,1640,-22,-1.34,6751,42.39,0.05,24631.30,26550.00,1870.00,0.00,0,0.00,0,3,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,2171,-987,-45.46,13453,43.37,0.05,24631.30,26600.00,2098.05,0.00,0,0.00,0,4,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,1450,390,26.90,4887,44.35,0.05,24631.30,26650.00,2022.95,0.00,0,0.00,0,4,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,2382,1025,43.03,8310,47.67,0.10,24631.30,26700.00,2069.50,0.00,0,0.00,0,4,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,1019,404,39.65,5575,46.29,0.05,24631.30,26750.00,2116.45,0.00,0,0.00,0,4,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,3061,307,10.03,12572,47.26,0.05,24631.30,26800.00,2208.65,0.00,0,0.00,0,4,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,1012,7,0.69,4604,48.22,0.05,24631.30,26850.00,2237.55,0.00,0,0.00,0,4,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,2486,-1009,-40.59,12513,49.19,0.05,24631.30,26900.00,2308.50,0.00,0,0.00,0,4,-0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,1441,629,43.65,5992,50.14,0.05,24631.30,26950.00,2318.35,0.00,0,0.00,0,4,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,0,0,-,0,0.00,0.05,24631.30,27000.00,2365.25,0.00,96,-49.35,-38,77,-,-
2025-08-14 15:30:00,14-Aug-2025,4956,2265,45.70,19590,52.05,0.05,24631.30,27050.00,2411.90,0.00,0,-,0,0,0.00,0.00
2025-08-14 15:30:00,14-Aug-2025,24762,-9150,-36.95,99801,53.00,0.05,24631.30,27100.00,2458.75,0.00,26,0.00,0,17,-0.00,0.00
